company,rate,amount,id,year,state
Other,5.69,300,1780,2013,Colorado
Other,2.47,300,47-0376012,2013,
Other,1.76,300,21699,2013,California
Other,,300,47-0376012,2013,
Other,,300,68-0151632,2013,California
Wells Fargo,,300,451965,2013,California
Other,,300,7505400005,2013,Oregon
Other,,300,828651,2013,Wyoming
Other,,300,617677,2013,California
Other,,300,471809999,2013,California
Other,,300,47-0376012,2013,
Other,,299,30788,2013,Montana
Other,,299,77-0556943,2013,California
Other,,299,471809999,2013,California
Wells Fargo,,299,451965,2013,California
Other,,299,32489,2013,Oregon
Other,,299,143662,2013,California
Other,,299,22-3554558,2013,Oregon
Other,,299,22-3554558,2013,California
Other,1.8,298,8663,2013,Tennessee
Other,,298,95-2960716,2013,California
Other,,298,471809999,2013,Washington
Other,,298,2317700005,2013,Colorado
Other,,297,91-2006136,2013,Oregon
Other,1.67,296,22-3554558,2013,California
Other,,296,471809999,2013,Washington
Other,,296,22-3554558,2013,California
Wells Fargo,,296,451965,2013,California
Wells Fargo,,296,451965,2013,Colorado
Other,,296,14334,2013,Missouri
Other,1.97,295,7516800003,2013,California
Other,1.63,295,471809999,2013,California
Other,1.56,295,471809999,2013,California
Other,1.51,295,6443809990,2013,California
Wells Fargo,,295,451965,2013,California
Other,,295,32489,2013,Oregon
Other,,295,33-0419992,2013,California
Other,,294,32489,2013,Washington
Wells Fargo,,294,451965,2013,California
Other,1.9,293,68-0151632,2013,California
Other,1.94,292,21699,2013,California
Other,,292,04-3660901,2013,Washington
Other,,292,91-1841798,2013,Oregon
Other,,292,339858,2013,Colorado
Other,,292,852320,2013,Virginia
Other,,290,22-3554558,2013,California
Wells Fargo,,290,451965,2013,Oregon
Other,,290,804963,2013,Oregon
Other,,290,47-0376012,2013,
Other,,289,417626,2013,West Virginia
Other,,289,143662,2013,Oregon
Other,2.36,288,21699,2013,California
Other,1.83,288,21699,2013,California
Other,,288,22-3554558,2013,California
Other,,288,52-2321476,2013,Oregon
Other,,288,91-2006136,2013,Idaho
Other,,288,32489,2013,Washington
Wells Fargo,,286,451965,2013,Washington
Other,,286,2149009991,2013,Oregon
Other,,285,656377,2013,Washington
Other,,285,504713,2013,Texas
Other,,285,143662,2013,Oregon
Other,,285,817824,2013,Washington
Other,,285,20-1091645,2013,South Dakota
Wells Fargo,,285,451965,2013,California
Other,,285,471809999,2013,California
Other,2.64,284,21699,2013,California
Other,,284,28489,2013,Washington
Other,,284,22-3554558,2013,Washington
Other,,284,91-1841798,2013,Oregon
Other,,284,22-3554558,2013,Oregon
Other,,283,32489,2013,Oregon
Wells Fargo,,282,451965,2013,Washington
Other,2.26,280,21699,2013,California
Other,1.96,280,3956,2013,Washington
Other,,280,32489,2013,Washington
Wells Fargo,,280,451965,2013,California
Other,,280,8576,2013,Missouri
Other,,280,471809999,2013,California
Other,,280,471809999,2013,California
Other,,280,143662,2013,Oregon
Wells Fargo,,280,451965,2013,California
Other,1.78,279,22-3554558,2013,California
Other,1.76,279,21699,2013,California
Other,,279,2149009991,2013,Washington
Other,,279,47-0933090,2013,Washington
Other,,279,143662,2013,Oregon
Other,,279,659855,2013,Wyoming
Wells Fargo,,278,451965,2013,Oregon
Other,,278,143662,2013,Oregon
Other,2.25,276,20-1091645,2013,Wyoming
Other,,276,339858,2013,Colorado
Other,,276,22-3554558,2013,Oregon
Wells Fargo,,276,451965,2013,Wyoming
Wells Fargo,,276,451965,2013,California
Other,,276,28489,2013,Washington
Other,2.11,275,75-2585326,2013,Washington
Other,,275,22-3554558,2013,Washington
Other,,275,47-0376012,2013,Iowa
Other,,275,7976700006,2013,Nevada
Other,,275,47-0376012,2013,Iowa
Other,,275,68-0309242,2013,California
Other,,275,12067,2013,California
Other,,275,68-0151632,2013,Nevada
Other,,275,143662,2013,Oregon
Other,,275,47-0376012,2013,Wyoming
Other,,275,47-0376012,2013,South Dakota
Other,,275,143662,2013,Oregon
Wells Fargo,,275,451965,2013,Washington
Wells Fargo,,274,451965,2013,California
Wells Fargo,,274,451965,2013,Washington
Wells Fargo,,274,451965,2013,California
Other,,274,617677,2013,Wyoming
Wells Fargo,,273,451965,2013,Colorado
Other,,273,30788,2013,Washington
Other,,273,504713,2013,Washington
Other,,272,68-0309242,2013,Washington
Wells Fargo,,271,451965,2013,Pennsylvania
Other,,271,471809999,2013,California
Other,,271,471809999,2013,Washington
Other,,271,63-1052225,2013,Louisiana
Other,2.58,270,16191,2013,Montana
Other,2.25,270,143662,2013,California
Other,1.57,270,143662,2013,Oregon
Wells Fargo,,270,451965,2013,Washington
Other,,270,11570,2013,Colorado
Other,,270,22-3554558,2013,Washington
Wells Fargo,,270,451965,2013,Washington
Wells Fargo,,270,451965,2013,Washington
Other,,270,504713,2013,California
Other,,270,143662,2013,California
Other,,270,143662,2013,Oregon
Other,,270,2317700005,2013,California
Other,,270,143662,2013,Washington
Other,,270,471809999,2013,California
Other,2.52,269,41-1956286,2013,Minnesota
Other,,269,804963,2013,Colorado
Wells Fargo,,269,451965,2013,California
Other,,269,20-1091645,2013,Wyoming
Other,1.95,268,22-3554558,2013,California
Other,1.86,268,95-2960716,2013,Oregon
Other,1.51,268,2149009991,2013,Washington
Wells Fargo,,268,451965,2013,Nevada
Other,,268,84-1564935,2013,California
Other,,268,22-3554558,2013,Oregon
Wells Fargo,,268,451965,2013,California
Other,1.58,267,99-0021107,2013,Washington
Other,,267,817824,2013,California
Other,1.9,266,21699,2013,California
Other,,266,976226,2013,Virginia
Other,,266,60042,2013,Washington
Other,,266,32489,2013,Washington
Other,,266,26-4599244,2013,California
Other,,266,91-2006136,2013,Oregon
Other,1.82,265,20-8745846,2013,Oregon
Other,1.65,265,15219,2013,North Dakota
Wells Fargo,,265,451965,2013,California
Other,,265,22-3554558,2013,California
Wells Fargo,,265,451965,2013,Colorado
Wells Fargo,,265,451965,2013,Colorado
Other,,265,706164,2013,California
Other,,265,143662,2013,Oregon
Other,,265,32158,2013,Washington
Other,,264,471809999,2013,Washington
Other,,264,91-1913382,2013,Washington
Wells Fargo,,264,451965,2013,California
Other,,264,91-2006136,2013,Oregon
Other,,264,20-1091645,2013,Wyoming
Wells Fargo,,264,451965,2013,Washington
Other,2.78,263,32158,2013,Washington
Other,,263,339858,2013,Texas
Other,,263,32489,2013,Oregon
Other,,263,26-4599244,2013,Nevada
Other,,263,2149009991,2013,Oregon
Other,,263,471809999,2013,Oregon
Other,,263,471809999,2013,California
Other,,262,47-0376012,2013,Nebraska
Other,,262,656377,2013,Washington
Other,,261,86-0953952,2013,California
Other,,261,471809999,2013,California
Wells Fargo,,261,451965,2013,Colorado
Other,,261,26-1442480,2013,California
Other,,261,617677,2013,California
Other,,261,2149009991,2013,Idaho
Other,,261,471809999,2013,California
Other,,260,32158,2013,Washington
Other,,260,143662,2013,Washington
Other,,260,11570,2013,Colorado
Wells Fargo,,260,451965,2013,California
Other,,260,22-3554558,2013,Washington
Other,,260,22-3554558,2013,Washington
Other,,260,12067,2013,California
Other,,260,471809999,2013,California
Wells Fargo,,260,451965,2013,Oregon
Other,,260,32489,2013,Oregon
Other,,260,471809999,2013,Washington
Other,,260,617677,2013,California
Wells Fargo,,260,451965,2013,California
Other,,260,497404,2013,Florida
Other,,260,580155,2013,Wyoming
Other,,260,2149009991,2013,Washington
Wells Fargo,1.53,259,451965,2013,California
Other,,259,143662,2013,Oregon
Wells Fargo,,259,451965,2013,Washington
Wells Fargo,,259,451965,2013,California
Other,,259,487357,2013,Missouri
Other,,259,6443809990,2013,California
Other,4.58,258,12067,2013,California
Other,,258,84-0849361,2013,Colorado
Wells Fargo,,258,451965,2013,Washington
Other,,258,32489,2013,Washington
Other,,258,7976700006,2013,Nevada
Wells Fargo,,258,451965,2013,Washington
Other,,258,32489,2013,Oregon
Other,,258,471809999,2013,Oregon
Other,,258,471809999,2013,Wyoming
Other,,258,20-1091645,2013,Wyoming
Wells Fargo,,258,451965,2013,California
Wells Fargo,1.61,257,451965,2013,Colorado
Wells Fargo,,257,451965,2013,Washington
Wells Fargo,,257,451965,2013,California
Other,,257,91-1374387,2013,California
Other,,257,2149009991,2013,Oregon
Other,,257,143662,2013,California
Other,3.42,256,20-1091645,2013,North Dakota
Wells Fargo,,256,451965,2013,Washington
Wells Fargo,,256,451965,2013,Montana
Other,,256,32489,2013,Washington
Other,,256,877369,2013,California
Other,,256,143662,2013,California
Other,,256,7976700006,2013,California
Wells Fargo,,256,451965,2013,California
Other,,256,91-2006136,2013,Oregon
Other,,256,95-4769926,2013,California
Other,,256,32489,2013,Oregon
Wells Fargo,,256,451965,2013,California
Other,1.61,255,471809999,2013,Oregon
Other,,255,32489,2013,Washington
Other,,255,32489,2013,Washington
Other,,255,143662,2013,Washington
Other,,255,659855,2013,Montana
Wells Fargo,,255,451965,2013,California
Other,,255,34-2000096,2013,Washington
Other,,255,22-3554558,2013,Oregon
Other,,255,4009,2013,South Dakota
Other,,255,22-3554558,2013,Oregon
Other,,255,659855,2013,Wyoming
Other,,255,32158,2013,Washington
Other,,254,3804,2013,California
Wells Fargo,,254,451965,2013,California
Other,,254,7976700006,2013,Nevada
Wells Fargo,,254,451965,2013,Missouri
Other,,253,32158,2013,Washington
Other,,253,22-3554558,2013,Washington
Wells Fargo,,253,451965,2013,Oregon
Other,,253,471809999,2013,California
Other,,253,471809999,2013,California
Other,,253,471809999,2013,Oregon
Other,,253,95-4623407,2013,California
Other,,253,32158,2013,Oregon
Other,3.11,252,6443809990,2013,California
Other,1.73,252,20231,2013,Texas
Other,,252,972590,2013,Washington
Other,,252,471809999,2013,Oregon
Other,,252,54-1870627,2013,Virginia
Other,,252,32489,2013,Oregon
Wells Fargo,,252,451965,2013,California
Wells Fargo,,252,451965,2013,California
Other,,251,471809999,2013,Colorado
Other,,251,32489,2013,Washington
Other,,251,5073,2013,Pennsylvania
Other,,251,659855,2013,Wyoming
Other,,251,143662,2013,Oregon
Other,,251,22-3554558,2013,Oregon
Other,,251,75-2585326,2013,Oregon
Other,2.48,250,539340,2013,Indiana
Other,1.87,250,143662,2013,Oregon
Other,,250,91-1374387,2013,Oregon
Wells Fargo,,250,451965,2013,North Dakota
Other,,250,22-3554558,2013,Washington
Wells Fargo,,250,451965,2013,Wisconsin
Other,,250,2149009991,2013,Oregon
Other,,250,143662,2013,Oregon
Wells Fargo,,250,451965,2013,California
Other,,250,471809999,2013,California
Wells Fargo,,250,451965,2013,California
Other,,250,32489,2013,Oregon
Other,,250,471809999,2013,New Mexico
Other,,250,22-3554558,2013,Washington
Other,,250,84-0849361,2013,Colorado
Other,,250,22-3554558,2013,North Dakota
Wells Fargo,,250,451965,2013,North Dakota
Other,,250,659855,2013,South Dakota
Other,,250,852320,2013,Virginia
Other,,250,659855,2013,Wyoming
Other,,250,47-0376012,2013,Nebraska
Wells Fargo,,250,451965,2013,Washington
Other,,250,75-2585326,2013,Washington
Other,,250,47-0376012,2013,
Other,4.52,249,4009,2013,North Dakota
Other,,249,68530,2013,Oregon
Other,,249,8831,2013,Minnesota
Other,,249,13020,2013,West Virginia
Other,,249,84-0849361,2013,Colorado
Other,1.53,248,471809999,2013,Colorado
Other,,248,471809999,2013,Washington
Other,,248,22-3554558,2013,Washington
Other,,248,91-1374387,2013,Washington
Other,,248,471809999,2013,Washington
Wells Fargo,,248,451965,2013,California
Other,,248,30788,2013,Nevada
Other,,248,84-1564935,2013,California
Other,,248,471809999,2013,California
Other,,248,143662,2013,California
Other,,248,143662,2013,Oregon
Other,,248,93-1190071,2013,California
Other,,248,9289,2013,Washington
Other,,247,32489,2013,Washington
Other,,247,22-3554558,2013,Oregon
Other,2.09,246,68-0151632,2013,California
Other,1.69,246,22-3554558,2013,Oregon
Other,,246,64778,2013,Colorado
Other,,246,471809999,2013,North Dakota
Other,,246,47-0376012,2013,Wyoming
Wells Fargo,,246,451965,2013,California
Other,2.04,245,68-0151632,2013,California
Other,1.96,245,22-3554558,2013,Oregon
Other,1.77,245,15219,2013,North Dakota
Other,1.61,245,75-2585326,2013,California
Other,,245,32489,2013,Washington
Other,,245,8816,2013,Maryland
Wells Fargo,,245,451965,2013,Virginia
Other,,245,22-3554558,2013,Washington
Other,,245,702190,2013,West Virginia
Wells Fargo,,245,451965,2013,Washington
Wells Fargo,,245,451965,2013,California
Wells Fargo,,245,451965,2013,Colorado
Other,,245,471809999,2013,Oregon
Other,,245,2149009991,2013,Oregon
Other,,245,7667200009,2013,Idaho
Wells Fargo,,245,451965,2013,Washington
Other,,245,471809999,2013,Oregon
Other,,245,81-0615913,2013,California
Other,,245,75-2585326,2013,Washington
Other,3.2,244,6443809990,2013,California
Other,2.33,244,20-1091645,2013,Louisiana
Other,1.91,244,471809999,2013,Washington
Other,1.65,244,22-3554558,2013,California
Other,,244,32489,2013,Washington
Other,,244,75-2694910,2013,Texas
Other,,244,837260,2013,California
Other,,244,471809999,2013,Colorado
Other,,244,26-3780954,2013,Washington
Wells Fargo,,244,451965,2013,California
Wells Fargo,,244,451965,2013,Oregon
Wells Fargo,,244,451965,2013,Idaho
Other,,244,6443809990,2013,California
Other,1.89,243,21699,2013,California
Wells Fargo,,243,451965,2013,Washington
Other,,243,32489,2013,Washington
Other,,243,7976700006,2013,Nevada
Wells Fargo,,243,451965,2013,Colorado
Other,,243,68-0151632,2013,Colorado
Other,,243,471809999,2013,North Dakota
Other,,243,3804,2013,California
Other,,243,10887,2013,Illinois
Wells Fargo,,243,451965,2013,Oregon
Other,,243,16546,2013,Louisiana
Other,,243,20-1091645,2013,Wyoming
Other,,243,33-0419992,2013,California
Other,2.73,242,232,2013,Iowa
Other,2.03,242,13198,2013,North Dakota
Other,1.75,242,68-0151632,2013,California
Other,1.51,242,471809999,2013,California
Other,,242,75-2694910,2013,Louisiana
Wells Fargo,,242,451965,2013,Washington
Other,,242,2317700005,2013,Colorado
Other,,242,80-0233937,2013,Washington
Other,,242,91-1374387,2013,Oregon
Other,,242,77-0556943,2013,California
Other,,242,47-0933090,2013,Washington
Other,3.84,241,16191,2013,Montana
Other,2.11,241,87-0676486,2013,Washington
Other,1.88,241,7638200000,2013,Washington
Other,1.81,241,2149009991,2013,Washington
Other,1.63,241,471809999,2013,California
Other,,241,22-3554558,2013,Washington
Wells Fargo,,241,451965,2013,Washington
Wells Fargo,,241,451965,2013,Washington
Other,,241,471809999,2013,Washington
Other,,241,32158,2013,Oregon
Wells Fargo,,241,451965,2013,California
Other,,241,7976700006,2013,Nevada
Other,,241,7667200009,2013,Idaho
Wells Fargo,,241,451965,2013,California
Other,,241,471809999,2013,California
Other,,241,34-2000096,2013,Oregon
Wells Fargo,,241,451965,2013,Washington
Other,,241,22-3554558,2013,California
Other,2.11,240,4093,2013,Texas
Other,1.86,240,21699,2013,California
Other,1.8,240,99-0021107,2013,Washington
Clayton,,240,7162800002,2013,Texas
Other,,240,25726,2013,California
Other,,240,972590,2013,Washington
Other,,240,54-0259290,2013,North Carolina
Other,,240,617677,2013,Washington
Other,,240,28489,2013,Washington
Other,,240,656377,2013,Washington
Other,,240,143662,2013,Oregon
Other,,240,22-3554558,2013,Oregon
Other,,240,471809999,2013,Oregon
Other,,240,4009,2013,South Dakota
Wells Fargo,,240,451965,2013,Oregon
Other,,240,2149009991,2013,Oregon
Other,,240,47-0376012,2013,
Other,,240,47-0376012,2013,Nebraska
Other,3.74,239,10248,2013,North Dakota
Other,2.27,239,1635900004,2013,Oregon
Other,1.75,239,01-0726495,2013,Colorado
Wells Fargo,1.64,239,451965,2013,Nevada
Other,,239,15219,2013,Montana
Other,,239,471809999,2013,Washington
Other,,239,471809999,2013,Washington
Other,,239,471809999,2013,Oregon
Other,,239,5073,2013,Pennsylvania
Other,,239,497404,2013,Florida
Other,,239,2149009991,2013,Oregon
Other,,239,471809999,2013,Oregon
Other,,239,471809999,2013,California
Other,1.95,238,21699,2013,California
Other,1.88,238,21699,2013,California
Other,1.54,238,143662,2013,Oregon
Other,,238,143662,2013,Oregon
Other,,238,659855,2013,Montana
Other,,238,04-3660901,2013,Washington
Other,,238,2149009991,2013,Washington
Other,,238,2149009991,2013,Oregon
Wells Fargo,,238,451965,2013,Washington
Wells Fargo,,238,451965,2013,Washington
Other,,238,659855,2013,Wyoming
Other,,238,817824,2013,California
Other,3.63,237,21699,2013,California
Other,,237,12163,2013,Indiana
Other,,237,32489,2013,Washington
Other,,237,32489,2013,Washington
Wells Fargo,,237,451965,2013,Oregon
Other,,237,2149009991,2013,Oregon
Wells Fargo,,237,451965,2013,California
Other,,237,32489,2013,Washington
Other,,237,2149009991,2013,Washington
Other,,237,28489,2013,Washington
Other,1.59,236,7516800003,2013,Washington
Wells Fargo,,236,451965,2013,California
Other,,236,143662,2013,Oregon
Other,,236,471809999,2013,Oregon
Wells Fargo,,236,451965,2013,California
Wells Fargo,,236,451965,2013,California
Wells Fargo,,236,451965,2013,Oregon
Other,,236,20-1091645,2013,Wyoming
Other,,236,861304,2013,Pennsylvania
Other,3.56,235,20-1091645,2013,North Dakota
Other,1.64,235,22-3554558,2013,Oregon
Other,,235,471809999,2013,Oregon
Other,,235,75-2694910,2013,Texas
Other,,235,471809999,2013,Washington
Other,,235,471809999,2013,Washington
Wells Fargo,,235,451965,2013,California
Other,,235,7976700006,2013,Nevada
Other,,235,471809999,2013,North Dakota
Other,,235,143662,2013,Oregon
Other,1.67,234,471809999,2013,Oregon
Other,,234,32158,2013,Washington
Other,,234,617677,2013,Washington
Other,,234,471809999,2013,Oregon
Wells Fargo,,234,451965,2013,Washington
Wells Fargo,,234,451965,2013,Washington
Other,,234,22-3554558,2013,Washington
Other,,234,617677,2013,California
Other,,234,8531,2013,New York
Other,,234,143662,2013,Oregon
Other,,234,471809999,2013,California
Other,,234,63-1052225,2013,Louisiana
Other,,234,471809999,2013,California
Other,2.25,233,32158,2013,Washington
Other,2.01,233,24692,2013,Utah
Other,1.86,233,68-0151632,2013,California
Other,,233,32489,2013,Washington
Other,,233,11570,2013,Colorado
Other,,233,34-1194858,2013,Virginia
Other,,233,15219,2013,Nevada
Other,,233,68429,2013,California
Other,,233,68-0151632,2013,California
Other,10.14,232,24692,2013,Utah
Other,2.58,232,699105,2013,Massachusetts
Other,2.01,232,68-0151632,2013,California
Other,1.83,232,471809999,2013,Utah
Other,,232,62745,2013,Oregon
Other,,232,32489,2013,Washington
Wells Fargo,,232,451965,2013,Oregon
Other,,232,26-4599244,2013,Nevada
Other,,232,471809999,2013,California
Other,,232,12067,2013,California
Other,,232,504713,2013,Colorado
Other,,232,84-1040263,2013,Colorado
Wells Fargo,,232,451965,2013,Colorado
Other,,232,2149009991,2013,Oregon
Other,,232,580155,2013,Wyoming
Wells Fargo,,232,451965,2013,Oregon
Other,,232,659855,2013,Wyoming
Other,,232,22-3554558,2013,Washington
Other,,232,32158,2013,Washington
Other,2.13,231,7516800003,2013,Nevada
Other,1.97,231,471809999,2013,California
Other,1.9,231,804963,2013,California
Other,1.8,231,04-3660901,2013,Washington
Other,,231,32158,2013,Washington
Other,,231,22-3554558,2013,California
Other,,231,22-3554558,2013,Washington
Other,,231,22-3554558,2013,Washington
Other,,231,504713,2013,Nevada
Other,,231,15219,2013,Colorado
Other,,231,471809999,2013,Washington
Other,,231,7516800003,2013,California
Other,,231,15219,2013,North Dakota
Other,,231,22-3554558,2013,Colorado
Other,,231,3027509990,2013,California
Other,,231,143662,2013,Oregon
Other,,231,471809999,2013,California
Other,,231,7667200009,2013,Idaho
Other,,231,143662,2013,Washington
Other,3.38,230,6104,2013,Tennessee
Clayton,3.23,230,62-0997810,2013,Virginia
Other,2.19,230,41-1956286,2013,Minnesota
Other,1.5,230,68-0151632,2013,Colorado
Wells Fargo,,230,451965,2013,Washington
Other,,230,22-3554558,2013,Oregon
Other,,230,47-0376012,2013,Iowa
Other,,230,10956,2013,Minnesota
Other,,230,26-4599244,2013,Nevada
Wells Fargo,,230,451965,2013,Colorado
Wells Fargo,,230,451965,2013,Nevada
Wells Fargo,,230,451965,2013,California
Other,,230,143662,2013,Oregon
Other,,230,471809999,2013,Oregon
Wells Fargo,,230,451965,2013,California
Other,1.72,229,16980,2013,Colorado
Other,,229,22-3554558,2013,Washington
Other,,229,26-4599244,2013,Nevada
Other,,229,34-1716542,2013,Washington
Wells Fargo,,229,451965,2013,Nevada
Other,,229,417626,2013,West Virginia
Other,,229,22-3554558,2013,Washington
Wells Fargo,,229,451965,2013,California
Other,,229,22-3554558,2013,Oregon
Other,,229,20-8745846,2013,Florida
Wells Fargo,,229,451965,2013,Washington
Other,1.8,228,93-1190071,2013,California
Other,1.67,228,21699,2013,California
Other,,228,22-3554558,2013,New Mexico
Wells Fargo,,228,451965,2013,Washington
Other,,228,143662,2013,Oregon
Other,,228,471809999,2013,Oregon
Wells Fargo,,228,451965,2013,Arizona
Other,,228,12067,2013,California
Other,,228,143662,2013,Oregon
Other,,228,804963,2013,Oregon
Other,,228,471809999,2013,Wyoming
Other,,228,617677,2013,Washington
Other,,228,23041,2013,Washington
Other,1.72,227,21699,2013,California
Other,1.6,227,2149009991,2013,Wyoming
Other,,227,659855,2013,Montana
Other,,227,471809999,2013,California
Other,,227,86-0953952,2013,Oregon
Other,,227,480228,2013,Nevada
Other,,227,143662,2013,Oregon
Other,,227,617677,2013,Washington
Wells Fargo,,227,451965,2013,Colorado
Other,,227,32489,2013,Idaho
Other,2.12,226,21699,2013,California
Other,1.56,226,22-3554558,2013,Idaho
Wells Fargo,,226,451965,2013,Colorado
Wells Fargo,,226,451965,2013,California
Other,,226,47-0933090,2013,Washington
Other,,226,15219,2013,Montana
Other,,226,471809999,2013,Washington
Other,,226,852320,2013,North Carolina
Other,,226,617677,2013,Colorado
Other,,226,22-3554558,2013,Arizona
Other,,226,75-2585326,2013,Oregon
Other,,226,471809999,2013,California
Other,,226,339858,2013,Colorado
Other,,226,8531,2013,New York
Other,,226,471809999,2013,California
Other,,226,30788,2013,Idaho
Other,,226,817824,2013,California
Other,,226,28453,2013,Washington
Other,,226,471809999,2013,Washington
Other,6.18,225,11817,2013,Mississippi
Other,2.4,225,24382,2013,California
Other,2.14,225,6443809990,2013,New Mexico
Other,1.96,225,91-1374387,2013,Oregon
Other,,225,13198,2013,North Dakota
Other,,225,32489,2013,Washington
Other,,225,2149009991,2013,Washington
Other,,225,471809999,2013,California
Wells Fargo,,225,451965,2013,Washington
Wells Fargo,,225,451965,2013,Colorado
Other,,225,702190,2013,West Virginia
Other,,225,68-0309242,2013,California
Wells Fargo,,225,451965,2013,Colorado
Other,,225,15219,2013,Nevada
Other,,225,471809999,2013,Nevada
Other,,225,143662,2013,California
Other,,225,617677,2013,California
Other,,225,15219,2013,North Dakota
Other,,225,22-3554558,2013,North Dakota
Other,,225,22-3554558,2013,Oregon
Other,,225,471809999,2013,Oregon
Other,,225,84-1564935,2013,California
Other,,225,14384,2013,California
Other,,225,659855,2013,Wyoming
Other,,225,2232,2013,Wyoming
Other,,225,68237,2013,Idaho
Other,2.46,224,21699,2013,California
Other,,224,339858,2013,Kansas
Other,,224,7976700006,2013,Nevada
Other,,224,12067,2013,California
Other,,224,8531,2013,New York
Other,,224,22-3554558,2013,Oregon
Other,,224,68095,2013,Tennessee
Other,,224,04-3660901,2013,Washington
Other,,224,28453,2013,Washington
Other,1.93,223,471809999,2013,Oregon
Clayton,,223,62-0997810,2013,Colorado
Other,,223,04-3660901,2013,Washington
Other,,223,32158,2013,Washington
Other,,223,471809999,2013,Washington
Other,,223,34-2000096,2013,Montana
Wells Fargo,,223,451965,2013,Nevada
Other,,223,6158,2013,Washington
Other,,223,04-3660901,2013,Washington
Other,,223,12067,2013,California
Other,,223,22-3554558,2013,Oregon
Other,,223,8531,2013,New York
Other,,223,22407,2013,Oregon
Wells Fargo,,223,451965,2013,California
Other,,223,659855,2013,Wyoming
Other,,223,659855,2013,Wyoming
Other,,223,143662,2013,Oregon
Other,,223,471809999,2013,California
Other,1.95,222,22-3554558,2013,California
Other,1.83,222,21699,2013,California
Other,1.76,222,2888798,2013,California
Other,1.72,222,7976700006,2013,Nevada
Other,1.58,222,32489,2013,Washington
Other,,222,837260,2013,California
Wells Fargo,,222,451965,2013,Colorado
Other,,222,22-3554558,2013,Washington
Other,,222,88-0500878,2013,Nevada
Other,,222,47-0933090,2013,Washington
Other,,222,471809999,2013,California
Other,,222,32489,2013,Oregon
Other,,222,471809999,2013,Oregon
Other,,222,471809999,2013,California
Other,,222,24382,2013,California
Wells Fargo,,222,451965,2013,California
Other,,222,471809999,2013,California
Other,,222,52-2321476,2013,Oregon
Other,2.2,221,6443809990,2013,Montana
Clayton,2.16,221,62-0997810,2013,Louisiana
Other,1.76,221,471809999,2013,California
Other,1.64,221,22-3554558,2013,California
Other,,221,32489,2013,Washington
Other,,221,143662,2013,Washington
Wells Fargo,,221,451965,2013,California
Other,,221,22-3554558,2013,Nevada
Other,,221,471809999,2013,Colorado
Other,,221,504713,2013,North Dakota
Other,,221,4878,2013,Oregon
Other,,221,143662,2013,Oregon
Other,,221,23038,2013,Missouri
Other,,221,509811,2013,Kentucky
Other,,221,7976700006,2013,Nevada
Other,,221,22-3554558,2013,Oregon
Other,,221,32489,2013,Oregon
Other,,221,715953,2013,Oregon
Wells Fargo,,221,451965,2013,California
Other,,221,32489,2013,Oregon
Wells Fargo,,221,451965,2013,Wyoming
Other,,221,75-2585326,2013,Washington
Other,4.3,220,25726,2013,California
Other,3.05,220,10248,2013,North Dakota
Other,2.53,220,3027,2013,Colorado
Other,1.86,220,21699,2013,California
Other,1.53,220,68-0151632,2013,California
Other,,220,253,2013,Iowa
Wells Fargo,,220,451965,2013,California
Other,,220,3027509990,2013,California
Other,,220,1184,2013,Texas
Wells Fargo,,220,451965,2013,New York
Other,,220,617677,2013,Washington
Wells Fargo,,220,451965,2013,Nevada
Wells Fargo,,220,451965,2013,Washington
Other,,220,504713,2013,North Dakota
Other,,220,32489,2013,Washington
Other,,220,143662,2013,Oregon
Other,,220,11112,2013,Pennsylvania
Other,,220,20-8745846,2013,Colorado
Wells Fargo,,220,451965,2013,North Dakota
Other,,220,33-0419992,2013,California
Wells Fargo,,220,451965,2013,Florida
Other,,220,471809999,2013,Colorado
Other,,220,16980,2013,Colorado
Other,,220,68530,2013,Oregon
Wells Fargo,,220,451965,2013,Oregon
Wells Fargo,,220,451965,2013,Wyoming
Wells Fargo,,220,451965,2013,California
Other,,220,471809999,2013,Oregon
Other,,220,32489,2013,Oregon
Other,,220,75-2694910,2013,Louisiana
Other,,220,75-2694910,2013,Texas
Other,2.18,219,21699,2013,California
Other,1.82,219,32158,2013,Washington
Other,1.76,219,471809999,2013,California
Other,1.67,219,6443809990,2013,California
Clayton,,219,62-0997810,2013,Louisiana
Other,,219,143662,2013,Washington
Other,,219,504713,2013,Montana
Other,,219,7976700006,2013,Nevada
Other,,219,11519,2013,North Dakota
Wells Fargo,,219,451965,2013,Arizona
Other,,219,471809999,2013,Oregon
Wells Fargo,,219,451965,2013,South Dakota
Wells Fargo,,219,451965,2013,Washington
Wells Fargo,,219,451965,2013,Washington
Other,,218,14384,2013,California
Other,,218,471809999,2013,Montana
Other,,218,84-1040263,2013,Washington
Other,,218,11-3714032,2013,Oregon
Other,,218,32489,2013,Oregon
Wells Fargo,,218,451965,2013,California
Other,,218,68-0151632,2013,California
Other,,218,32158,2013,Oregon
Other,1.72,217,95-4623407,2013,California
Other,1.5,217,143662,2013,California
Wells Fargo,,217,451965,2013,Washington
Other,,217,471809999,2013,Washington
Other,,217,95-4623407,2013,California
Other,,217,91-2006136,2013,Washington
Other,,217,3027509990,2013,Texas
Wells Fargo,,217,451965,2013,Washington
Wells Fargo,,217,451965,2013,Wyoming
Other,,217,41-1592297,2013,South Dakota
Wells Fargo,,217,451965,2013,Washington
Wells Fargo,,217,451965,2013,Washington
